Month,Year,CPI   ,Cash    ,10Y BM  ,SPX-TR     ,CAPE ,MsciWorldExUs
10   ,1935,13.70 ,2044.34 ,1180.88 ,6616.87    ,14.83,             
11   ,1935,13.80 ,2044.68 ,1182.65 ,6891.64    ,16.13,             
12   ,1935,13.80 ,2044.95 ,1187.48 ,7173.97    ,16.16,             
1    ,1936,13.80 ,2045.21 ,1192.30 ,7666.84    ,17.09,             
2    ,1936,13.80 ,2045.55 ,1201.21 ,7817.30    ,18.10,             
3    ,1936,13.70 ,2045.89 ,1209.10 ,8035.76    ,18.66,             
4    ,1936,13.70 ,2046.23 ,1213.88 ,7436.53    ,18.72,             
5    ,1936,13.70 ,2046.57 ,1218.66 ,7801.51    ,17.75,             
6    ,1936,13.80 ,2046.91 ,1219.27 ,8065.26    ,18.39,             
7    ,1936,13.90 ,2047.25 ,1223.02 ,8647.46    ,19.36,             
8    ,1936,14.00 ,2047.51 ,1233.08 ,8743.85    ,19.62,             
9    ,1936,14.00 ,2047.85 ,1232.58 ,8785.44    ,19.86,             
10   ,1936,14.00 ,2048.12 ,1234.22 ,9481.89    ,20.91,             
11   ,1936,14.00 ,2048.35 ,1249.68 ,9549.66    ,21.50,             
12   ,1936,14.00 ,2048.53 ,1251.22 ,9527.10    ,21.13,             
1    ,1937,14.10 ,2048.74 ,1259.22 ,9924.99    ,21.62,             
2    ,1937,14.10 ,2049.03 ,1262.92 ,10107.03   ,22.24,             
3    ,1937,14.20 ,2049.29 ,1237.18 ,10043.52   ,22.04,             
4    ,1937,14.30 ,2049.93 ,1232.46 ,9249.92    ,20.56,             
5    ,1937,14.40 ,2050.89 ,1239.63 ,9190.07    ,19.47,             
6    ,1937,14.40 ,2051.59 ,1240.31 ,8745.56    ,18.71,             
7    ,1937,14.50 ,2052.21 ,1252.94 ,9675.81    ,19.65,             
8    ,1937,14.50 ,2052.69 ,1245.95 ,9181.22    ,19.81,             
9    ,1937,14.60 ,2053.18 ,1251.00 ,7913.58    ,16.85,             
10   ,1937,14.60 ,2053.71 ,1253.87 ,7148.29    ,14.36,             
11   ,1937,14.50 ,2054.06 ,1263.31 ,6458.85    ,13.16,             
12   ,1937,14.40 ,2054.21 ,1267.25 ,6168.06    ,13.01,             
1    ,1938,14.20 ,2054.40 ,1272.29 ,6294.54    ,13.51,             
2    ,1938,14.10 ,2054.57 ,1279.55 ,6718.36    ,13.26,             
3    ,1938,14.10 ,2054.71 ,1280.12 ,5071.71    ,12.38,             
4    ,1938,14.20 ,2054.84 ,1293.03 ,5822.24    ,11.79,             
5    ,1938,14.10 ,2055.00 ,1300.30 ,5602.17    ,11.99,             
6    ,1938,14.10 ,2055.08 ,1300.75 ,7024.76    ,12.29,             
7    ,1938,14.10 ,2055.17 ,1304.63 ,7563.17    ,14.77,             
8    ,1938,14.10 ,2055.29 ,1309.65 ,7389.21    ,14.90,             
9    ,1938,14.10 ,2055.39 ,1303.26 ,7538.73    ,14.28,             
10   ,1938,14.00 ,2055.53 ,1318.64 ,8131.05    ,16.06,             
11   ,1938,14.00 ,2055.61 ,1316.76 ,7892.79    ,16.15,             
12   ,1938,14.00 ,2055.68 ,1322.97 ,8215.80    ,15.76,             
1    ,1939,14.00 ,2055.73 ,1325.70 ,7678.87    ,15.60,             
2    ,1939,13.90 ,2055.78 ,1334.25 ,7957.39    ,15.66,             
3    ,1939,13.90 ,2055.84 ,1347.49 ,6904.14    ,15.73,             
4    ,1939,13.80 ,2055.89 ,1358.40 ,6892.28    ,13.92,             
5    ,1939,13.80 ,2055.94 ,1377.74 ,7349.44    ,14.50,             
6    ,1939,13.80 ,2055.99 ,1376.57 ,6906.59    ,14.83,             
7    ,1939,13.80 ,2056.04 ,1381.46 ,7689.44    ,15.27,             
8    ,1939,13.80 ,2056.11 ,1368.28 ,7172.33    ,15.12,             
9    ,1939,14.10 ,2056.20 ,1315.84 ,8381.49    ,16.45,             
10   ,1939,14.00 ,2056.44 ,1345.51 ,8293.09    ,16.82,             
11   ,1939,14.00 ,2056.52 ,1361.33 ,7919.57    ,16.60,             
12   ,1939,14.00 ,2056.61 ,1376.01 ,8141.08    ,16.28,             
1    ,1940,13.90 ,2056.68 ,1377.44 ,7888.07    ,16.38,             
2    ,1940,14.00 ,2056.69 ,1378.89 ,7971.88    ,16.22,             
3    ,1940,14.00 ,2056.73 ,1393.68 ,8089.13    ,16.17,             
4    ,1940,14.00 ,2056.76 ,1388.96 ,8083.29    ,16.37,             
5    ,1940,14.00 ,2056.80 ,1368.71 ,6181.88    ,14.14,             
6    ,1940,14.10 ,2056.90 ,1389.60 ,6696.79    ,12.84,             
7    ,1940,14.00 ,2057.07 ,1400.83 ,6936.92    ,13.37,             
8    ,1940,14.00 ,2057.16 ,1405.91 ,7152.82    ,13.65,             
9    ,1940,14.00 ,2057.22 ,1418.41 ,7267.50    ,14.21,             
10   ,1940,14.00 ,2057.31 ,1428.44 ,7588.71    ,14.33,             
11   ,1940,14.00 ,2057.34 ,1451.14 ,7307.86    ,14.64,             
12   ,1940,14.10 ,2057.38 ,1459.86 ,7320.25    ,13.91,             
1    ,1941,14.10 ,2057.41 ,1462.15 ,7010.94    ,13.90,             
2    ,1941,14.10 ,2057.45 ,1453.06 ,6945.15    ,13.00,             
3    ,1941,14.20 ,2057.52 ,1474.07 ,7011.28    ,12.96,             
4    ,1941,14.30 ,2057.70 ,1487.24 ,6599.74    ,12.43,             
5    ,1941,14.40 ,2057.88 ,1488.42 ,6658.29    ,12.04,             
6    ,1941,14.70 ,2058.06 ,1504.32 ,7058.23    ,12.16,             
7    ,1941,14.70 ,2058.27 ,1523.02 ,7488.12    ,12.75,             
8    ,1941,14.90 ,2058.48 ,1515.78 ,7466.70    ,12.46,             
9    ,1941,15.10 ,2058.70 ,1516.80 ,7435.91    ,12.28,             
10   ,1941,15.30 ,2058.87 ,1526.00 ,6974.15    ,11.58,             
11   ,1941,15.40 ,2059.03 ,1522.88 ,6721.98    ,10.91,             
12   ,1941,15.50 ,2059.51 ,1499.57 ,6458.86    ,10.09,             
1    ,1942,15.70 ,2060.07 ,1503.50 ,6590.62    ,10.10,             
2    ,1942,15.80 ,2060.54 ,1496.70 ,6423.86    ,9.68 ,             
3    ,1942,16.00 ,2060.96 ,1510.10 ,6075.53    ,9.00 ,             
4    ,1942,16.10 ,2061.39 ,1504.60 ,5851.80    ,8.54 ,             
5    ,1942,16.30 ,2061.94 ,1511.29 ,6268.15    ,8.51 ,             
6    ,1942,16.30 ,2062.58 ,1512.56 ,6425.81    ,8.91 ,             
7    ,1942,16.40 ,2063.22 ,1511.14 ,6667.08    ,9.15 ,             
8    ,1942,16.50 ,2063.87 ,1513.81 ,6754.04    ,9.01 ,             
9    ,1942,16.50 ,2064.52 ,1515.13 ,6974.76    ,9.08 ,             
10   ,1942,16.70 ,2065.18 ,1519.17 ,7462.71    ,9.60 ,             
11   ,1942,16.80 ,2065.83 ,1519.14 ,7398.67    ,9.66 ,             
12   ,1942,16.90 ,2066.48 ,1525.93 ,7820.11    ,9.62 ,             
1    ,1943,16.90 ,2067.14 ,1534.09 ,8419.79    ,10.15,             
2    ,1943,16.90 ,2067.79 ,1535.36 ,8885.52    ,10.71,             
3    ,1943,17.20 ,2068.45 ,1535.28 ,9393.71    ,10.85,             
4    ,1943,17.40 ,2069.10 ,1540.71 ,9441.70    ,11.04,             
5    ,1943,17.50 ,2069.76 ,1550.29 ,9905.35    ,11.36,             
6    ,1943,17.50 ,2070.41 ,1554.30 ,10141.90   ,11.52,             
7    ,1943,17.40 ,2071.07 ,1554.14 ,9632.77    ,11.77,             
8    ,1943,17.30 ,2071.73 ,1554.00 ,9772.94    ,11.21,             
9    ,1943,17.40 ,2072.38 ,1556.67 ,10046.27   ,11.34,             
10   ,1943,17.40 ,2073.04 ,1556.56 ,9955.51    ,11.19,             
11   ,1943,17.40 ,2073.69 ,1555.09 ,9246.32    ,10.63,             
12   ,1943,17.40 ,2074.35 ,1556.43 ,9834.38    ,10.74,             
1    ,1944,17.40 ,2075.01 ,1559.18 ,10029.59   ,11.05,             
2    ,1944,17.40 ,2075.66 ,1567.52 ,10047.97   ,10.95,             
3    ,1944,17.40 ,2076.32 ,1570.24 ,10261.92   ,11.22,             
4    ,1944,17.50 ,2076.98 ,1571.56 ,10178.70   ,10.94,             
5    ,1944,17.50 ,2077.64 ,1574.29 ,10635.32   ,11.10,             
6    ,1944,17.60 ,2078.29 ,1575.63 ,11223.03   ,11.53,             
7    ,1944,17.70 ,2078.95 ,1578.39 ,11035.73   ,11.74,             
8    ,1944,17.70 ,2079.61 ,1585.39 ,11177.53   ,11.54,             
9    ,1944,17.70 ,2080.27 ,1586.71 ,11189.17   ,11.33,             
10   ,1944,17.70 ,2080.93 ,1588.04 ,11235.89   ,11.58,             
11   ,1944,17.70 ,2081.59 ,1590.80 ,11326.75   ,11.48,             
12   ,1944,17.80 ,2082.25 ,1592.15 ,11771.12   ,11.64,             
1    ,1945,17.80 ,2082.91 ,1615.02 ,11987.59   ,11.96,             
2    ,1945,17.80 ,2083.57 ,1626.36 ,12774.50   ,12.34,             
3    ,1945,17.80 ,2084.23 ,1636.25 ,12233.34   ,12.32,             
4    ,1945,17.80 ,2084.89 ,1656.48 ,13358.17   ,12.63,             
5    ,1945,17.90 ,2085.55 ,1658.87 ,13559.95   ,13.04,             
6    ,1945,18.10 ,2086.21 ,1668.73 ,13563.65   ,13.13,             
7    ,1945,18.10 ,2086.87 ,1666.57 ,13341.50   ,12.87,             
8    ,1945,18.10 ,2087.53 ,1671.94 ,14165.16   ,12.92,             
9    ,1945,18.10 ,2088.19 ,1678.81 ,14808.98   ,13.80,             
10   ,1945,18.10 ,2088.85 ,1690.21 ,15308.37   ,14.37,             
11   ,1945,18.10 ,2089.51 ,1700.08 ,15855.43   ,14.85,             
12   ,1945,18.20 ,2090.17 ,1684.04 ,16062.94   ,15.02,             
1    ,1946,18.20 ,2090.84 ,1695.48 ,17234.94   ,15.62,             
2    ,1946,18.10 ,2091.50 ,1700.81 ,16090.34   ,15.76,             
3    ,1946,18.30 ,2092.16 ,1706.13 ,16888.01   ,15.13,             
4    ,1946,18.40 ,2092.82 ,1685.52 ,17576.04   ,16.04,             
5    ,1946,18.50 ,2093.48 ,1686.42 ,18022.69   ,16.01,             
6    ,1946,18.70 ,2094.15 ,1693.40 ,17371.20   ,15.77,             
7    ,1946,19.80 ,2094.81 ,1689.73 ,16982.09   ,14.51,             
8    ,1946,20.20 ,2095.47 ,1683.11 ,15797.90   ,13.98,             
9    ,1946,20.40 ,2096.14 ,1678.10 ,14251.10   ,11.84,             
10   ,1946,20.80 ,2096.80 ,1683.70 ,14199.52   ,11.39,             
11   ,1946,21.30 ,2097.47 ,1674.23 ,14087.43   ,11.11,             
12   ,1946,21.50 ,2098.13 ,1690.46 ,14748.93   ,11.37,             
1    ,1947,21.50 ,2098.79 ,1699.11 ,15146.62   ,11.47,             
2    ,1947,21.50 ,2099.46 ,1704.68 ,14987.12   ,11.95,             
3    ,1947,21.90 ,2100.12 ,1707.18 ,14799.05   ,11.29,             
4    ,1947,21.90 ,2100.79 ,1706.62 ,14283.61   ,10.90,             
5    ,1947,21.90 ,2101.45 ,1710.68 ,14214.01   ,10.73,             
6    ,1947,22.00 ,2102.12 ,1707.08 ,15027.99   ,11.08,             
7    ,1947,22.20 ,2102.78 ,1711.19 ,15640.44   ,11.70,             
8    ,1947,22.50 ,2103.94 ,1718.37 ,15256.03   ,11.34,             
9    ,1947,23.00 ,2105.26 ,1713.21 ,15108.22   ,10.83,             
10   ,1947,23.00 ,2106.66 ,1700.52 ,15505.86   ,11.13,             
11   ,1947,23.10 ,2108.15 ,1688.07 ,15133.13   ,10.98,             
12   ,1947,23.40 ,2109.77 ,1666.93 ,15521.78   ,10.68,             
1    ,1948,23.70 ,2111.44 ,1669.95 ,14980.44   ,10.42,             
2    ,1948,23.50 ,2113.15 ,1675.98 ,14346.62   ,10.00,             
3    ,1948,23.40 ,2114.91 ,1680.49 ,15515.92   ,10.19,             
4    ,1948,23.80 ,2116.67 ,1685.01 ,16003.58   ,10.78,             
5    ,1948,23.90 ,2118.43 ,1701.63 ,17326.87   ,11.24,             
6    ,1948,24.10 ,2120.20 ,1689.39 ,17465.80   ,11.58,             
7    ,1948,24.40 ,2121.96 ,1689.40 ,16595.87   ,11.13,             
8    ,1948,24.50 ,2123.73 ,1689.43 ,16803.82   ,10.72,             
9    ,1948,24.50 ,2125.61 ,1697.05 ,16376.56   ,10.55,             
10   ,1948,24.40 ,2127.54 ,1694.05 ,17563.48   ,10.83,             
11   ,1948,24.20 ,2129.53 ,1704.75 ,15746.38   ,10.25,             
12   ,1948,24.10 ,2131.55 ,1712.38 ,16313.24   ,10.16,             
1    ,1949,24.00 ,2133.61 ,1723.08 ,16427.98   ,10.25,             
2    ,1949,23.80 ,2135.69 ,1727.60 ,15863.87   ,9.87 ,             
3    ,1949,23.80 ,2137.77 ,1736.76 ,16430.76   ,9.90 ,             
4    ,1949,23.90 ,2139.86 ,1741.24 ,16180.03   ,9.78 ,             
5    ,1949,23.80 ,2141.94 ,1745.71 ,15665.33   ,9.69 ,             
6    ,1949,23.90 ,2144.03 ,1761.18 ,15717.46   ,9.07 ,             
7    ,1949,23.70 ,2146.12 ,1768.74 ,16806.50   ,9.61 ,             
8    ,1949,23.80 ,2147.95 ,1782.66 ,17100.15   ,9.85 ,             
9    ,1949,23.90 ,2149.81 ,1780.58 ,17593.53   ,9.88 ,             
10   ,1949,23.70 ,2151.72 ,1783.32 ,18221.12   ,10.17,             
11   ,1949,23.80 ,2153.61 ,1786.07 ,18349.38   ,10.22,             
12   ,1949,23.60 ,2155.54 ,1796.85 ,19260.20   ,10.53,             
1    ,1950,23.50 ,2157.52 ,1783.51 ,19705.47   ,10.75,             
2    ,1950,23.50 ,2159.44 ,1783.14 ,20014.56   ,10.91,             
3    ,1950,23.60 ,2161.46 ,1782.80 ,20209.29   ,10.91,             
4    ,1950,23.60 ,2163.48 ,1777.71 ,21237.86   ,11.18,             
5    ,1950,23.70 ,2165.55 ,1779.07 ,22189.86   ,11.46,             
6    ,1950,23.80 ,2167.64 ,1772.51 ,21020.05   ,11.55,             
7    ,1950,24.10 ,2169.72 ,1775.55 ,21330.07   ,10.54,             
8    ,1950,24.30 ,2171.82 ,1778.60 ,22156.04   ,11.04,             
9    ,1950,24.40 ,2173.99 ,1775.30 ,23527.72   ,11.34,             
10   ,1950,24.60 ,2176.35 ,1768.90 ,23772.74   ,11.66,             
11   ,1950,24.70 ,2178.72 ,1767.35 ,23897.41   ,11.54,             
12   ,1950,25.00 ,2181.19 ,1772.15 ,25149.80   ,11.31,             
1    ,1951,25.40 ,2183.63 ,1783.31 ,26846.23   ,11.90,             
2    ,1951,25.70 ,2186.06 ,1776.94 ,27176.69   ,12.14,             
3    ,1951,25.80 ,2188.54 ,1756.54 ,26835.88   ,11.84,             
4    ,1951,25.80 ,2191.10 ,1744.36 ,28290.42   ,11.95,             
5    ,1951,25.90 ,2193.78 ,1733.97 ,27306.64   ,11.86,             
6    ,1951,25.90 ,2196.61 ,1736.09 ,26760.96   ,11.62,             
7    ,1951,25.90 ,2199.27 ,1755.30 ,28761.32   ,11.78,             
8    ,1951,25.90 ,2202.13 ,1776.18 ,30191.47   ,12.26,             
9    ,1951,26.10 ,2205.10 ,1757.59 ,30191.47   ,12.45,             
10   ,1951,26.20 ,2208.09 ,1756.51 ,29928.71   ,12.31,             
11   ,1951,26.40 ,2210.93 ,1753.93 ,30003.67   ,11.85,             
12   ,1951,26.50 ,2213.80 ,1762.33 ,31324.80   ,12.15,             
1    ,1952,26.50 ,2216.99 ,1766.02 ,31977.55   ,12.53,             
2    ,1952,26.30 ,2219.89 ,1761.92 ,30966.15   ,12.36,             
3    ,1952,26.30 ,2222.74 ,1765.60 ,32598.52   ,12.36,             
4    ,1952,26.40 ,2225.69 ,1786.33 ,31362.58   ,12.24,             
5    ,1952,26.40 ,2228.60 ,1796.15 ,32236.28   ,12.20,             
6    ,1952,26.50 ,2231.70 ,1793.39 ,33889.98   ,12.45,             
7    ,1952,26.70 ,2234.86 ,1787.58 ,34659.69   ,12.67,             
8    ,1952,26.70 ,2238.23 ,1777.24 ,34326.57   ,12.68,             
9    ,1952,26.70 ,2241.65 ,1764.02 ,33819.25   ,12.43,             
10   ,1952,26.70 ,2244.84 ,1789.60 ,33945.31   ,12.13,             
11   ,1952,26.70 ,2248.10 ,1794.91 ,35695.51   ,12.47,             
12   ,1952,26.70 ,2251.56 ,1795.52 ,37120.23   ,12.93,             
1    ,1953,26.60 ,2255.48 ,1782.13 ,37020.27   ,13.01,             
2    ,1953,26.50 ,2259.17 ,1775.19 ,36513.08   ,12.86,             
3    ,1953,26.60 ,2262.88 ,1769.93 ,35809.32   ,12.83,             
4    ,1953,26.60 ,2266.67 ,1763.25 ,35024.11   ,12.16,             
5    ,1953,26.70 ,2270.80 ,1734.01 ,35093.04   ,12.14,             
6    ,1953,26.80 ,2274.89 ,1729.41 ,34686.10   ,11.62,             
7    ,1953,26.80 ,2278.89 ,1761.14 ,35742.55   ,11.75,             
8    ,1953,26.90 ,2282.77 ,1762.39 ,33840.81   ,11.72,             
9    ,1953,26.90 ,2286.65 ,1779.02 ,34048.72   ,11.14,             
10   ,1953,27.00 ,2290.06 ,1816.11 ,35970.23   ,11.39,             
11   ,1953,26.90 ,2292.69 ,1816.98 ,36460.96   ,11.64,             
12   ,1953,26.90 ,2295.44 ,1835.35 ,36712.38   ,11.75,             
1    ,1954,26.90 ,2298.50 ,1857.03 ,38775.70   ,12.00,             
2    ,1954,26.90 ,2300.76 ,1862.49 ,39070.80   ,12.22,             
3    ,1954,26.90 ,2302.62 ,1882.68 ,40420.24   ,12.42,             
4    ,1954,26.80 ,2304.60 ,1899.62 ,42586.30   ,12.91,             
5    ,1954,26.90 ,2306.46 ,1889.99 ,44172.67   ,13.31,             
6    ,1954,26.90 ,2307.92 ,1892.08 ,44393.23   ,13.36,             
7    ,1954,26.90 ,2309.15 ,1909.12 ,47105.64   ,13.83,             
8    ,1954,26.90 ,2310.54 ,1902.78 ,45697.31   ,14.04,             
9    ,1954,26.80 ,2312.31 ,1903.20 ,49684.42   ,14.36,             
10   ,1954,26.80 ,2314.26 ,1898.67 ,48914.81   ,14.62,             
11   ,1954,26.80 ,2316.15 ,1894.24 ,53059.63   ,15.12,             
12   ,1954,26.70 ,2317.94 ,1893.19 ,55951.04   ,15.79,             
1    ,1955,26.70 ,2320.16 ,1880.70 ,57151.37   ,15.99,             
2    ,1955,26.70 ,2322.52 ,1878.24 ,57570.95   ,16.44,             
3    ,1955,26.70 ,2324.79 ,1879.12 ,57498.77   ,16.22,             
4    ,1955,26.70 ,2327.27 ,1870.24 ,59854.16   ,16.69,             
5    ,1955,26.70 ,2330.35 ,1872.90 ,59981.54   ,16.52,             
6    ,1955,26.70 ,2333.17 ,1873.95 ,65125.23   ,17.37,             
7    ,1955,26.80 ,2335.91 ,1858.82 ,69310.75   ,18.45,             
8    ,1955,26.80 ,2339.02 ,1852.04 ,68984.32   ,18.22,             
9    ,1955,26.90 ,2342.73 ,1856.62 ,69984.22   ,18.84,             
10   ,1955,26.90 ,2346.77 ,1875.80 ,68064.23   ,17.77,             
11   ,1955,26.90 ,2351.13 ,1878.67 ,73385.17   ,18.84,             
12   ,1955,26.80 ,2355.52 ,1871.80 ,73535.76   ,18.94,             
1    ,1956,26.80 ,2360.50 ,1876.42 ,71101.26   ,18.29,             
2    ,1956,26.80 ,2365.24 ,1890.59 ,73787.11   ,18.27,             
3    ,1956,26.80 ,2369.82 ,1875.80 ,79146.13   ,19.37,             
4    ,1956,26.90 ,2374.26 ,1845.62 ,79226.44   ,19.37,             
5    ,1956,27.00 ,2379.40 ,1867.87 ,74254.75   ,18.54,             
6    ,1956,27.20 ,2384.58 ,1883.82 ,77418.25   ,18.16,             
7    ,1956,27.40 ,2389.53 ,1870.96 ,81656.45   ,18.86,             
8    ,1956,27.30 ,2394.13 ,1841.15 ,78786.66   ,18.67,             
9    ,1956,27.40 ,2399.31 ,1838.47 ,75469.34   ,17.84,             
10   ,1956,27.50 ,2404.99 ,1849.89 ,76107.16   ,17.42,             
11   ,1956,27.50 ,2410.80 ,1831.66 ,75508.44   ,17.12,             
12   ,1956,27.60 ,2416.81 ,1821.55 ,78408.96   ,17.20,             
1    ,1957,27.60 ,2423.28 ,1827.00 ,75371.77   ,16.72,             
2    ,1957,27.70 ,2429.56 ,1850.62 ,73149.36   ,15.84,             
3    ,1957,27.80 ,2435.83 ,1845.01 ,74830.29   ,15.90,             
4    ,1957,27.90 ,2442.08 ,1839.53 ,77839.93   ,16.12,             
5    ,1957,28.00 ,2448.33 ,1826.61 ,80961.47   ,16.60,             
6    ,1957,28.10 ,2454.58 ,1802.03 ,81105.00   ,16.73,             
7    ,1957,28.30 ,2461.31 ,1788.45 ,82280.44   ,16.87,             
8    ,1957,28.30 ,2467.79 ,1794.31 ,77912.39   ,15.87,             
9    ,1957,28.30 ,2474.72 ,1801.67 ,73340.86   ,15.16,             
10   ,1957,28.30 ,2482.00 ,1800.12 ,71247.45   ,14.15,             
11   ,1957,28.40 ,2489.40 ,1843.73 ,72651.49   ,13.74,             
12   ,1957,28.40 ,2496.27 ,1929.39 ,69898.84   ,13.67,             
1    ,1958,28.60 ,2502.59 ,1953.99 ,73145.30   ,13.79,             
2    ,1958,28.60 ,2507.68 ,1965.57 ,71895.28   ,13.78,             
3    ,1958,28.80 ,2510.88 ,1982.12 ,74372.80   ,13.93,             
4    ,1958,28.90 ,2513.60 ,2003.72 ,76994.53   ,13.91,             
5    ,1958,28.90 ,2515.97 ,2001.82 ,78401.89   ,14.32,             
6    ,1958,28.90 ,2517.87 ,1998.33 ,80702.93   ,14.64,             
7    ,1958,29.00 ,2519.61 ,1965.21 ,84438.96   ,14.96,             
8    ,1958,28.90 ,2521.53 ,1915.56 ,85698.74   ,15.54,             
9    ,1958,28.90 ,2525.08 ,1886.55 ,90103.64   ,15.93,             
10   ,1958,28.90 ,2530.21 ,1886.22 ,92652.07   ,16.56,             
11   ,1958,29.00 ,2535.76 ,1901.60 ,94990.72   ,16.99,             
12   ,1958,28.90 ,2541.40 ,1888.71 ,100196.11  ,17.36,             
1    ,1959,29.00 ,2547.26 ,1894.79 ,100844.59  ,17.98,             
2    ,1959,28.90 ,2553.25 ,1910.39 ,101094.42  ,17.76,             
3    ,1959,28.90 ,2559.00 ,1912.04 ,101418.04  ,18.20,             
4    ,1959,29.00 ,2564.97 ,1898.34 ,105624.14  ,18.43,             
5    ,1959,29.00 ,2571.27 ,1875.89 ,107896.82  ,18.69,             
6    ,1959,29.10 ,2577.36 ,1878.08 ,107784.83  ,18.45,             
7    ,1959,29.20 ,2584.25 ,1875.79 ,111823.35  ,19.09,             
8    ,1959,29.20 ,2591.14 ,1878.13 ,110420.68  ,18.96,             
9    ,1959,29.30 ,2598.44 ,1847.62 ,105660.61  ,18.12,             
10   ,1959,29.40 ,2607.19 ,1877.28 ,107132.63  ,18.02,             
11   ,1959,29.40 ,2615.99 ,1884.36 ,108832.18  ,18.07,             
12   ,1959,29.40 ,2625.04 ,1867.36 ,112123.89  ,18.62,             
1    ,1960,29.30 ,2634.86 ,1870.16 ,104413.82  ,18.34,             
2    ,1960,29.40 ,2644.41 ,1912.47 ,105675.22  ,17.55,             
3    ,1960,29.40 ,2653.14 ,1957.06 ,104511.26  ,17.29,             
4    ,1960,29.50 ,2660.45 ,1959.25 ,102986.57  ,17.43,             
5    ,1960,29.50 ,2667.62 ,1955.19 ,106059.64  ,17.26,             
6    ,1960,29.60 ,2674.93 ,1994.17 ,108439.37  ,17.82,             
7    ,1960,29.60 ,2680.41 ,2041.95 ,106062.48  ,17.38,             
8    ,1960,29.60 ,2685.55 ,2065.27 ,109143.16  ,17.58,             
9    ,1960,29.60 ,2690.70 ,2071.81 ,102862.72  ,17.05,             
10   ,1960,29.80 ,2696.26 ,2063.25 ,102924.13  ,16.61,             
11   ,1960,29.80 ,2701.43 ,2063.24 ,107382.03  ,17.15,             
12   ,1960,29.80 ,2706.76 ,2085.16 ,112665.49  ,17.56,             
1    ,1961,29.80 ,2711.84 ,2091.83 ,120094.43  ,18.47,             
2    ,1961,29.80 ,2716.90 ,2108.77 ,123635.78  ,19.23,             
3    ,1961,29.80 ,2722.38 ,2122.29 ,127107.81  ,19.84,             
4    ,1961,29.80 ,2727.80 ,2122.00 ,127912.03  ,20.38,             
5    ,1961,29.80 ,2733.00 ,2140.83 ,130676.33  ,20.60,             
6    ,1961,29.80 ,2738.22 ,2118.01 ,127243.77  ,20.33,             
7    ,1961,30.00 ,2743.54 ,2117.98 ,131718.58  ,20.15,             
8    ,1961,29.90 ,2748.66 ,2104.36 ,134625.56  ,20.94,             
9    ,1961,30.00 ,2754.13 ,2121.72 ,132298.71  ,20.71,             
10   ,1961,30.00 ,2759.37 ,2139.13 ,136379.13  ,20.92,             
11   ,1961,30.00 ,2764.65 ,2142.64 ,142079.54  ,21.86,             
12   ,1961,30.00 ,2770.37 ,2128.90 ,142872.70  ,22.04,             
1    ,1962,30.00 ,2776.37 ,2129.21 ,137800.38  ,21.20,             
2    ,1962,30.10 ,2782.66 ,2153.83 ,140383.11  ,21.45,             
3    ,1962,30.10 ,2788.99 ,2185.66 ,139901.15  ,21.44,             
4    ,1962,30.20 ,2795.32 ,2192.69 ,131577.08  ,20.66,             
5    ,1962,30.20 ,2801.68 ,2192.62 ,120608.50  ,19.09,             
6    ,1962,30.20 ,2807.96 ,2182.00 ,111085.12  ,16.83,             
7    ,1962,30.30 ,2814.34 ,2182.20 ,118497.36  ,17.14,             
8    ,1962,30.30 ,2821.19 ,2203.77 ,120661.40  ,17.57,             
9    ,1962,30.40 ,2827.82 ,2214.63 ,115198.78  ,17.32,             
10   ,1962,30.40 ,2834.37 ,2225.50 ,116074.11  ,16.74,             
11   ,1962,30.40 ,2840.84 ,2232.77 ,128226.66  ,17.85,             
12   ,1962,30.40 ,2847.54 ,2252.81 ,130322.71  ,18.59,             
1    ,1963,30.40 ,2854.35 ,2256.38 ,137095.55  ,19.26,             
2    ,1963,30.40 ,2861.28 ,2250.85 ,133510.65  ,19.47,             
3    ,1963,30.50 ,2868.24 ,2256.41 ,138617.62  ,19.29,             
4    ,1963,30.50 ,2875.15 ,2263.84 ,145724.92  ,20.15,             
5    ,1963,30.50 ,2882.10 ,2269.45 ,148195.75  ,20.51,             
6    ,1963,30.60 ,2889.13 ,2269.58 ,145586.11  ,20.38,             
7    ,1963,30.70 ,2896.33 ,2277.15 ,145469.31  ,19.97,             
8    ,1963,30.70 ,2904.01 ,2281.04 ,152948.52  ,20.47,             
9    ,1963,30.70 ,2912.04 ,2279.45 ,151649.04  ,20.96,             
10   ,1963,30.80 ,2920.24 ,2272.45 ,156936.58  ,20.89,             
11   ,1963,30.80 ,2928.64 ,2293.24 ,155685.05  ,20.72,             
12   ,1963,30.90 ,2937.23 ,2289.91 ,159894.58  ,21.04,             
1    ,1964,30.90 ,2945.85 ,2295.95 ,164613.17  ,21.63,             
2    ,1964,30.90 ,2954.49 ,2298.32 ,166651.28  ,21.83,             
3    ,1964,30.90 ,2963.18 ,2297.04 ,169594.80  ,22.17,             
4    ,1964,30.90 ,2971.92 ,2307.00 ,171052.07  ,22.42,             
5    ,1964,30.90 ,2980.51 ,2320.72 ,173437.77  ,22.57,             
6    ,1964,31.00 ,2989.16 ,2336.35 ,176713.82  ,22.30,             
7    ,1964,31.10 ,2997.82 ,2336.88 ,180376.37  ,22.98,             
8    ,1964,31.00 ,3006.47 ,2341.25 ,177889.55  ,22.65,             
